time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,weather_description
2022-11-15,53,3.1,0.0,2.5,1.2,1.2,0.0,4.0,30.3,44.6,101,Drizzle: Moderate
2022-11-16,73,2.5,0.2,1.2,0.4,0.0,0.28,2.0,42.6,63.7,107,Snow fall: Moderate
2022-11-17,75,3.6,0.8,2.7,9.9,2.4,5.25,14.0,58.1,85.0,130,Snow fall: Heavy
2022-11-18,73,2.7,-1.4,1.0,1.7,0.9,0.56,9.0,24.8,37.1,105,Snow fall: Moderate
2022-11-19,73,2.3,-2.6,0.3,2.3,0.3,1.4,13.0,36.7,56.5,102,Snow fall: Moderate
2022-11-20,75,2.1,-1.8,0.2,5.5,0.5,3.5,13.0,36.7,54.7,110,Snow fall: Heavy
2022-11-21,73,1.1,-3.4,-1.0,1.0,0.0,0.7,4.0,30.9,45.7,117,Snow fall: Moderate
2022-11-22,3,0.2,-5.4,-3.3,0.0,0.0,0.0,0.0,45.2,67.7,97,Overcast
2022-11-23,71,-2.4,-5.1,-3.9,1.4,0.0,0.98,11.0,57.5,85.3,64,Snow fall: Slight
2022-11-24,71,0.7,-2.0,-0.1,1.5,0.0,1.05,13.0,61.8,94.0,76,Snow fall: Slight
2022-11-25,73,0.9,-0.6,0.1,0.6,0.0,0.42,4.0,55.1,81.7,82,Snow fall: Moderate
2022-11-26,75,0.9,-1.0,0.2,5.7,0.0,3.99,15.0,43.6,64.8,91,Snow fall: Heavy
2022-11-27,73,-0.8,-3.9,-2.1,1.5,0.0,1.05,11.0,38.7,57.2,42,Snow fall: Moderate
2022-11-28,73,-3.4,-9.4,-6.8,0.9,0.0,0.7,5.0,20.3,27.0,218,Snow fall: Moderate
2022-11-29,71,2.8,-8.8,-1.1,0.3,0.0,0.21,3.0,58.8,85.0,157,Snow fall: Slight
2022-11-30,71,6.5,3.5,5.4,24.1,23.9,0.14,23.0,64.4,93.6,154,Snow fall: Slight
2022-12-01,73,3.7,-0.7,0.4,6.3,0.3,4.2,23.0,49.3,75.6,181,Snow fall: Moderate
2022-12-02,71,0.9,-1.1,-0.2,0.4,0.0,0.28,4.0,27.4,42.5,179,Snow fall: Slight
2022-12-03,3,0.2,-5.0,-1.8,0.0,0.0,0.0,0.0,21.1,30.2,121,Overcast
2022-12-04,3,-3.9,-6.6,-5.1,0.0,0.0,0.0,0.0,17.4,22.7,213,Overcast
2022-12-05,3,-0.5,-6.2,-3.3,0.0,0.0,0.0,0.0,22.0,30.6,107,Overcast
2022-12-06,71,-1.6,-8.1,-5.3,0.5,0.0,0.35,5.0,15.1,19.8,193,Snow fall: Slight
2022-12-07,71,-4.8,-10.9,-6.6,1.8,0.0,1.26,14.0,23.1,33.8,78,Snow fall: Slight
2022-12-08,71,-10.3,-12.7,-11.4,0.4,0.0,0.28,4.0,28.1,40.3,74,Snow fall: Slight
2022-12-09,71,-6.7,-9.7,-8.0,1.1,0.0,0.84,11.0,27.3,40.3,52,Snow fall: Slight
2022-12-10,3,-6.1,-8.8,-7.0,0.0,0.0,0.0,0.0,34.2,49.3,98,Overcast
2022-12-11,3,-4.7,-8.3,-6.3,0.0,0.0,0.0,0.0,39.0,56.2,99,Overcast
2022-12-12,3,-5.9,-8.6,-7.2,0.0,0.0,0.0,0.0,29.7,43.9,118,Overcast
2022-12-13,71,-6.7,-14.5,-11.6,0.1,0.0,0.07,1.0,34.2,50.0,98,Snow fall: Slight
2022-12-14,71,-11.7,-14.5,-13.1,0.3,0.0,0.21,3.0,28.5,40.3,109,Snow fall: Slight
2022-12-15,3,-12.1,-15.8,-14.1,0.0,0.0,0.0,0.0,30.0,43.6,91,Overcast
2022-12-16,3,-15.0,-17.4,-16.2,0.0,0.0,0.0,0.0,30.3,43.2,109,Overcast
2022-12-17,73,-11.1,-13.5,-12.3,6.7,0.0,4.69,21.0,43.7,63.0,104,Snow fall: Moderate
2022-12-18,71,-12.9,-16.3,-14.7,0.3,0.0,0.21,3.0,53.7,77.4,88,Snow fall: Slight
2022-12-19,71,-10.4,-14.1,-11.8,1.1,0.0,0.77,11.0,64.2,95.8,74,Snow fall: Slight
2022-12-20,73,-7.8,-11.3,-9.3,3.4,0.1,2.31,16.0,56.2,85.0,60,Snow fall: Moderate
2022-12-21,73,-7.7,-11.5,-9.2,1.7,0.0,1.19,10.0,45.9,68.4,55,Snow fall: Moderate
2022-12-22,3,-10.9,-13.4,-12.0,0.0,0.0,0.0,0.0,39.8,57.2,91,Overcast
2022-12-23,3,-12.1,-18.7,-14.6,0.0,0.0,0.0,0.0,33.3,47.9,109,Overcast
2022-12-24,75,-10.7,-19.0,-13.7,11.8,0.0,8.26,13.0,33.9,48.6,107,Snow fall: Heavy
2022-12-25,73,-9.5,-13.0,-11.3,2.6,0.0,1.96,19.0,44.0,64.4,77,Snow fall: Moderate
2022-12-26,71,-10.5,-16.6,-13.2,0.4,0.0,0.28,4.0,23.8,34.2,88,Snow fall: Slight
2022-12-27,73,-8.9,-13.8,-10.5,5.8,0.1,3.99,20.0,35.0,52.2,123,Snow fall: Moderate
2022-12-28,73,-12.1,-16.5,-13.9,1.6,0.0,1.19,6.0,38.3,54.7,109,Snow fall: Moderate
2022-12-29,73,-11.8,-19.0,-14.7,1.0,0.0,0.7,6.0,38.9,58.3,72,Snow fall: Moderate
2022-12-30,2,-16.5,-21.2,-18.2,0.0,0.0,0.0,0.0,18.0,25.2,80,Partly cloudy
