time,weather_code,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,weather_description
2022-11-15,53,2.5,1.2,30.3,Drizzle: Moderate
2022-11-16,73,1.2,0.4,42.6,Snow fall: Moderate
2022-11-17,75,2.7,9.9,58.1,Snow fall: Heavy
2022-11-18,73,1.0,1.7,24.8,Snow fall: Moderate
2022-11-19,73,0.3,2.3,36.7,Snow fall: Moderate
2022-11-20,75,0.2,5.5,36.7,Snow fall: Heavy
2022-11-21,73,-1.0,1.0,30.9,Snow fall: Moderate
2022-11-22,3,-3.3,0.0,45.2,Overcast
2022-11-23,71,-3.9,1.4,57.5,Snow fall: Slight
2022-11-24,71,-0.1,1.5,61.8,Snow fall: Slight
2022-11-25,73,0.1,0.6,55.1,Snow fall: Moderate
2022-11-26,75,0.2,5.7,43.6,Snow fall: Heavy
2022-11-27,73,-2.1,1.5,38.7,Snow fall: Moderate
2022-11-28,73,-6.8,0.9,20.3,Snow fall: Moderate
2022-11-29,71,-1.1,0.3,58.8,Snow fall: Slight
2022-11-30,71,5.4,24.1,64.4,Snow fall: Slight
2022-12-01,73,0.4,6.3,49.3,Snow fall: Moderate
2022-12-02,71,-0.2,0.4,27.4,Snow fall: Slight
2022-12-03,3,-1.8,0.0,21.1,Overcast
2022-12-04,3,-5.1,0.0,17.4,Overcast
2022-12-05,3,-3.3,0.0,22.0,Overcast
2022-12-06,71,-5.3,0.5,15.1,Snow fall: Slight
2022-12-07,71,-6.6,1.8,23.1,Snow fall: Slight
2022-12-08,71,-11.4,0.4,28.1,Snow fall: Slight
2022-12-09,71,-8.0,1.1,27.3,Snow fall: Slight
2022-12-10,3,-7.0,0.0,34.2,Overcast
2022-12-11,3,-6.3,0.0,39.0,Overcast
2022-12-12,3,-7.2,0.0,29.7,Overcast
2022-12-13,71,-11.6,0.1,34.2,Snow fall: Slight
2022-12-14,71,-13.1,0.3,28.5,Snow fall: Slight
2022-12-15,3,-14.1,0.0,30.0,Overcast
2022-12-16,3,-16.2,0.0,30.3,Overcast
2022-12-17,73,-12.3,6.7,43.7,Snow fall: Moderate
2022-12-18,71,-14.7,0.3,53.7,Snow fall: Slight
2022-12-19,71,-11.8,1.1,64.2,Snow fall: Slight
2022-12-20,73,-9.3,3.4,56.2,Snow fall: Moderate
2022-12-21,73,-9.2,1.7,45.9,Snow fall: Moderate
2022-12-22,3,-12.0,0.0,39.8,Overcast
2022-12-23,3,-14.6,0.0,33.3,Overcast
2022-12-24,75,-13.7,11.8,33.9,Snow fall: Heavy
2022-12-25,73,-11.3,2.6,44.0,Snow fall: Moderate
2022-12-26,71,-13.2,0.4,23.8,Snow fall: Slight
2022-12-27,73,-10.5,5.8,35.0,Snow fall: Moderate
2022-12-28,73,-13.9,1.6,38.3,Snow fall: Moderate
2022-12-29,73,-14.7,1.0,38.9,Snow fall: Moderate
2022-12-30,2,-18.2,0.0,18.0,Partly cloudy
2022-12-31,73,-12.3,1.5,37.2,Snow fall: Moderate
2023-01-01,71,-11.8,1.2,46.2,Snow fall: Slight
2023-01-02,75,-5.4,9.7,42.9,Snow fall: Heavy
2023-01-03,71,-6.5,0.8,26.9,Snow fall: Slight
2023-01-04,3,-7.0,0.0,28.9,Overcast
2023-01-05,71,-7.2,0.6,22.7,Snow fall: Slight
2023-01-06,3,-7.6,0.0,45.2,Overcast
2023-01-07,73,-7.3,2.6,45.2,Snow fall: Moderate
2023-01-08,75,-4.7,7.4,34.2,Snow fall: Heavy
2023-01-09,73,-4.9,4.6,24.5,Snow fall: Moderate
2023-01-10,73,-4.1,2.5,39.8,Snow fall: Moderate
2023-01-11,71,-5.2,0.3,37.5,Snow fall: Slight
2023-01-12,3,-7.5,0.0,37.5,Overcast
2023-01-13,3,-8.6,0.0,12.0,Overcast
2023-01-14,3,-13.5,0.0,32.7,Overcast
2023-01-15,3,-15.2,0.0,26.6,Overcast
2023-01-16,71,-13.5,0.4,18.0,Snow fall: Slight
2023-01-17,71,-11.4,1.3,21.3,Snow fall: Slight
2023-01-18,71,-12.3,0.1,30.2,Snow fall: Slight
2023-01-19,71,-9.5,0.7,31.7,Snow fall: Slight
2023-01-20,75,-0.1,33.0,91.9,Snow fall: Heavy
2023-01-21,73,-0.2,9.2,59.4,Snow fall: Moderate
2023-01-22,75,-7.3,10.4,73.0,Snow fall: Heavy
2023-01-23,71,-6.9,0.5,39.2,Snow fall: Slight
2023-01-24,73,-0.1,4.1,46.2,Snow fall: Moderate
2023-01-25,73,-4.5,2.9,37.2,Snow fall: Moderate
2023-01-26,73,1.5,13.5,81.5,Snow fall: Moderate
2023-01-27,75,-5.2,5.7,67.8,Snow fall: Heavy
2023-01-28,75,-1.8,10.7,53.6,Snow fall: Heavy
2023-01-29,75,-5.0,4.4,38.5,Snow fall: Heavy
2023-01-30,75,-8.8,5.8,62.1,Snow fall: Heavy
2023-01-31,73,-8.5,1.8,61.6,Snow fall: Moderate
2023-02-01,73,-7.8,1.8,34.9,Snow fall: Moderate
2023-02-02,75,-4.0,13.9,58.0,Snow fall: Heavy
2023-02-03,75,-1.1,21.2,80.0,Snow fall: Heavy
2023-02-04,73,-6.1,2.0,54.1,Snow fall: Moderate
2023-02-05,75,1.4,36.7,78.5,Snow fall: Heavy
2023-02-06,73,-5.1,4.9,76.9,Snow fall: Moderate
2023-02-07,75,-8.2,12.7,69.1,Snow fall: Heavy
2023-02-08,73,-11.3,2.4,46.6,Snow fall: Moderate
2023-02-09,73,-11.9,0.9,38.9,Snow fall: Moderate
2023-02-10,73,-1.8,6.3,65.4,Snow fall: Moderate
2023-02-11,75,-0.5,12.4,78.7,Snow fall: Heavy
2023-02-12,73,-2.5,7.5,67.1,Snow fall: Moderate
2023-02-13,73,3.8,28.9,87.0,Snow fall: Moderate
2023-02-14,73,-0.8,7.1,47.5,Snow fall: Moderate
2023-02-15,71,-5.0,0.8,32.1,Snow fall: Slight
2023-02-16,71,-6.3,0.3,34.5,Snow fall: Slight
2023-02-17,73,-8.1,1.5,34.3,Snow fall: Moderate
2023-02-18,73,-5.8,1.4,47.6,Snow fall: Moderate
2023-02-19,75,-2.8,26.1,49.6,Snow fall: Heavy
2023-02-20,75,-5.3,7.9,42.0,Snow fall: Heavy
2023-02-21,71,-7.6,0.2,27.7,Snow fall: Slight
2023-02-22,73,-6.3,3.5,55.3,Snow fall: Moderate
2023-02-23,75,-1.8,6.2,50.4,Snow fall: Heavy
2023-02-24,71,0.5,0.2,48.4,Snow fall: Slight
2023-02-25,71,1.9,1.8,57.1,Snow fall: Slight
2023-02-26,71,2.2,0.9,59.9,Snow fall: Slight
2023-02-27,71,1.4,0.9,30.6,Snow fall: Slight
2023-02-28,75,1.4,6.8,54.0,Snow fall: Heavy
2023-03-01,3,-1.7,0.0,46.1,Overcast
2023-03-02,71,0.8,0.1,37.5,Snow fall: Slight
